,Start,StartLat,StartLon,End,EndLat,EndLon,Units,Trucks
0,2.0,27.461163,-82.540418,60.0,26.663,-81.9535,2328785.0,146.0
1,2.0,27.461163,-82.540418,65.0,27.4799,-82.3452,2851777.0,179.0
2,2.0,27.461163,-82.540418,81.0,27.3364,-82.5307,3096465.0,194.0
3,3.0,30.262235,-81.605391,40.0,30.3322,-81.6557,7102987.0,444.0
4,3.0,30.262235,-81.605391,70.0,30.5927,-81.8224,644626.0,41.0
5,3.0,30.262235,-81.605391,83.0,29.971,-81.5075,1950782.0,122.0
6,4.0,28.638841,-81.827372,59.0,28.7028,-81.7787,2739378.0,172.0
7,4.0,28.638841,-81.827372,85.0,28.6744,-82.0373,925730.0,58.0
8,5.0,29.232575,-82.165401,66.0,29.278,-82.1278,2681959.0,168.0
9,6.0,30.47227,-83.250769,48.0,30.4759,-82.9502,99913.0,7.0
10,6.0,30.47227,-83.250769,58.0,29.9822,-83.1712,58689.0,4.0
11,6.0,30.47227,-83.250769,64.0,30.4586,-83.507,128194.0,9.0
12,6.0,30.47227,-83.250769,86.0,30.3869,-82.9981,307894.0,20.0
13,6.0,30.47227,-83.250769,87.0,29.9504,-83.5838,156740.0,10.0
14,7.0,29.818485,-82.690568,26.0,29.6516,-82.3248,1986762.0,125.0
15,7.0,29.818485,-82.690568,37.0,30.1813,-82.6051,497268.0,32.0
16,7.0,29.818485,-82.690568,39.0,29.5203,-83.1649,119569.0,8.0
17,7.0,29.818485,-82.690568,45.0,29.754,-82.8208,127452.0,8.0
18,7.0,29.818485,-82.690568,62.0,29.317,-82.8208,306182.0,20.0
19,7.0,29.818485,-82.690568,88.0,30.03,-82.37,114353.0,8.0
20,8.0,30.820875,-85.177508,28.0,30.1805,-85.6846,1250098.0,79.0
21,8.0,30.820875,-85.177508,32.0,30.3475,-85.1894,97373.0,7.0
22,8.0,30.820875,-85.177508,43.0,29.7812,-84.8568,88833.0,6.0
23,8.0,30.820875,-85.177508,47.0,29.8002,-85.354,101254.0,7.0
24,8.0,30.820875,-85.177508,56.0,30.7151,-85.1894,337602.0,22.0
25,9.0,29.508083,-81.94456,42.0,29.4086,-81.2519,823177.0,52.0
26,9.0,29.508083,-81.94456,79.0,29.6111,-81.9516,523117.0,33.0
27,10.0,28.616443,-81.435409,82.0,28.698,-81.3397,3359376.0,210.0
28,11.0,26.904652,-80.28413,46.0,26.984,-81.0755,86514.0,6.0
29,11.0,26.904652,-80.28413,50.0,26.6113,-81.0755,282666.0,18.0
30,11.0,26.904652,-80.28413,55.0,27.6948,-80.5438,1140025.0,72.0
31,11.0,26.904652,-80.28413,67.0,27.0805,-80.4104,1130344.0,71.0
32,11.0,26.904652,-80.28413,72.0,27.2439,-80.8298,282844.0,18.0
33,11.0,26.904652,-80.28413,75.0,26.7153,-80.0534,10646208.0,666.0
34,11.0,26.904652,-80.28413,84.0,27.273,-80.3582,2348900.0,147.0
35,12.0,27.958677,-81.785651,33.0,26.8946,-81.9098,1333081.0,84.0
36,12.0,27.958677,-81.785651,38.0,27.1962,-81.809,242405.0,16.0
37,12.0,27.958677,-81.785651,49.0,27.4756,-81.821,180698.0,12.0
38,12.0,27.958677,-81.785651,52.0,27.34,-81.34,722272.0,46.0
39,12.0,27.958677,-81.785651,60.0,26.663,-81.9535,3099387.0,194.0
40,12.0,27.958677,-81.785651,78.0,27.8617,-81.6912,5172924.0,324.0
41,13.0,29.183999,-82.217887,34.0,28.8468,-82.4816,1097610.0,69.0
42,14.0,26.191601,-80.198962,31.0,26.1901,-80.3659,13872367.0,868.0
43,15.0,25.872969,-80.361298,36.0,26.07,-81.4279,2680846.0,168.0
44,15.0,25.872969,-80.361298,68.0,25.7617,-80.1918,19276068.0,1205.0
45,15.0,25.872969,-80.361298,69.0,24.5557,-81.7826,591274.0,37.0
46,16.0,30.521513,-84.370027,44.0,30.5563,-84.6479,312681.0,20.0
47,16.0,30.521513,-84.370027,57.0,30.4312,-83.8897,103523.0,7.0
48,16.0,30.521513,-84.370027,61.0,30.4383,-84.2807,2084720.0,131.0
49,16.0,30.521513,-84.370027,63.0,30.1508,-84.8568,56891.0,4.0
50,16.0,30.521513,-84.370027,90.0,30.1933,-84.3493,246929.0,16.0
51,17.0,27.865073,-82.706014,77.0,27.8764,-82.7779,6842859.0,428.0
52,18.0,28.039732,-82.054073,53.0,27.9904,-82.3018,8163489.0,511.0
53,19.0,28.007697,-82.531409,51.0,28.5579,-82.4753,1387789.0,87.0
54,20.0,30.1345513,-81.82616151,27.0,30.3931,-82.3018,201617.0,13.0
55,20.0,30.1345513,-81.82616151,29.0,29.9443,-82.1714,201931.0,13.0
56,20.0,30.1345513,-81.82616151,35.0,29.9944,-81.7787,1557094.0,98.0
57,22.0,28.582968,-81.412023,30.0,28.2639,-80.7214,4327943.0,271.0
58,22.0,28.582968,-81.412023,73.0,28.5383,-81.3792,10201843.0,638.0
59,22.0,28.582968,-81.412023,74.0,28.101,-81.0755,2772911.0,174.0
60,22.0,28.582968,-81.412023,89.0,29.0286,-81.0744,3949166.0,247.0
61,23.0,30.887564,-85.335709,41.0,30.6389,-87.3414,2296668.0,144.0
62,23.0,30.887564,-85.335709,54.0,30.8741,-85.8077,140216.0,9.0
63,23.0,30.887564,-85.335709,71.0,30.5773,-86.6611,1510169.0,95.0
64,23.0,30.887564,-85.335709,80.0,30.769,-86.9824,1341307.0,84.0
65,23.0,30.887564,-85.335709,91.0,30.5643,-86.1752,535674.0,34.0
66,23.0,30.887564,-85.335709,92.0,30.6084,-85.6659,181254.0,12.0
67,25.0,28.027583,-82.357688,53.0,27.9904,-82.3018,2251351.0,141.0
