,Start,End,Units,Trucks
0,0,76,4008876.0,251.0
1,2,60,2328785.0,146.0
2,2,65,2851777.0,179.0
3,2,81,3096465.0,194.0
4,3,40,7102987.0,444.0
5,3,70,644626.0,41.0
6,3,83,1950782.0,122.0
7,4,59,2739378.0,172.0
8,4,85,925730.0,58.0
9,5,66,2681959.0,168.0
10,6,48,99913.0,7.0
11,6,58,58689.0,4.0
12,6,64,128194.0,9.0
13,6,86,307894.0,20.0
14,6,87,156740.0,10.0
15,7,26,1986762.0,125.0
16,7,37,497268.0,32.0
17,7,39,119569.0,8.0
18,7,45,127452.0,8.0
19,7,62,306182.0,20.0
20,7,88,114353.0,8.0
21,8,28,1250098.0,79.0
22,8,32,97373.0,7.0
23,8,43,88833.0,6.0
24,8,47,101254.0,7.0
25,8,56,337602.0,22.0
26,9,42,823177.0,52.0
27,9,79,523117.0,33.0
28,10,82,3359376.0,210.0
29,11,46,86514.0,6.0
30,11,50,282666.0,18.0
31,11,55,1140025.0,72.0
32,11,67,1130344.0,71.0
33,11,72,282844.0,18.0
34,11,75,10646208.0,666.0
35,11,84,2348900.0,147.0
36,12,33,1333081.0,84.0
37,12,38,242405.0,16.0
38,12,49,180698.0,12.0
39,12,52,722272.0,46.0
40,12,60,3099387.0,194.0
41,12,78,5172924.0,324.0
42,13,34,1097610.0,69.0
43,14,31,13872367.0,868.0
44,15,36,2680846.0,168.0
45,15,68,19276068.0,1205.0
46,15,69,591274.0,37.0
47,16,44,312681.0,20.0
48,16,57,103523.0,7.0
49,16,61,2084720.0,131.0
50,16,63,56891.0,4.0
51,16,90,246929.0,16.0
52,17,77,6842859.0,428.0
53,18,53,8163489.0,511.0
54,19,51,1387789.0,87.0
55,20,27,201617.0,13.0
56,20,29,201931.0,13.0
57,20,35,1557094.0,98.0
58,22,30,4327943.0,271.0
59,22,73,10201843.0,638.0
60,22,74,2772911.0,174.0
61,22,89,3949166.0,247.0
62,23,41,2296668.0,144.0
63,23,54,140216.0,9.0
64,23,71,1510169.0,95.0
65,23,80,1341307.0,84.0
66,23,91,535674.0,34.0
67,23,92,181254.0,12.0
68,25,53,2251351.0,141.0
