ID,NAME,DEMAND
26,Alachua,2185438.2847
27,Baker,221778.80582
28,Bay,1375108.6459000001
29,Bradford,222124.12112000003
30,Brevard,4760737.638800001
31,Broward,15259604.569
32,Calhoun,107110.553847
33,Charlotte,1466389.6291
34,Citrus,1207371.6985000002
35,Clay,1712803.5485
36,Collier,2948930.6
37,Columbia,546995.2654100001
38,DeSoto,266646.26153
39,Dixie,131525.92112
40,Duval,7813286.3985
41,Escambia,2526335.2015000004
42,Flagler,905495.4191800001
43,Franklin,97716.405765
44,Gadsden,343949.81918
45,Gilchrist,140198.04612
46,Glades,95165.780765
47,Gulf,111379.90765000001
48,Hamilton,109904.46923500001
49,Hardee,198768.24418
50,Hendry,310932.95959
51,Hernando,1526568.6832
52,Highlands,794500.0673500001
53,Hillsborough,11456324.462000001
54,Holmes,154238.25582000002
55,Indian River,1254028.5153
56,Jackson,371363.15194000007
57,Jefferson,113875.59612
58,Lafayette,64558.280765
59,Lake,3013316.2235
60,Lee,5970989.5806
61,Leon,2293192.3806000003
62,Levy,336800.22112
63,Liberty,62580.565388
64,Madison,141014.24612
65,Manatee,3136954.8265000004
66,Marion,2950154.9000000004
67,Martin,1243378.675
68,Miami-Dade,21203675.24
69,Monroe,650401.52694
70,Nassau,709089.44612
71,Okaloosa,1661186.7459000002
72,Okeechobee,311129.16153000004
73,Orange,11222027.982
74,Osceola,3050202.1847
75,Palm Beach,11710829.757
76,Pasco,4409763.7903
77,Pinellas,7527145.513800001
78,Polk,5690216.7806
79,Putnam,575428.84806
80,Santa Rosa,1475438.4612000003
81,Sarasota,3406112.4735
82,Seminole,3695314.1082
83,St. Johns,2145860.4332000003
84,St. Lucie,2583790.9735
85,Sumter,1018303.6769400002
86,Suwannee,338683.75959000003
87,Taylor,172414.40194
88,Union,125788.97694000001
89,Volusia,4344083.234700001
90,Wakulla,271621.94235
91,Walton,589241.4634700001
92,Washington,199380.39418
